DATE,YEAR,MONTH,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
1981-01-31,1981,1,Arghakhanchi,27.9,83.2,67.31,93.78,5.28,53.09,13.03,3.34,19.17,9.14,10.03,11.19,2.01,3.39,0.81,2.59,2.7,4.22,1.06,3.16
1981-02-28,1981,2,Arghakhanchi,27.9,83.2,3.37,93.52,5.13,40.88,16.67,2.94,24.41,11.33,13.08,15.1,2.58,4.88,0.95,3.94,3.51,5.62,1.09,4.53
1981-03-31,1981,3,Arghakhanchi,27.9,83.2,26.02,93.4,5.91,35.84,20.83,4.84,28.31,14.79,13.52,20.58,2.73,4.67,1.02,3.65,3.73,5.72,1.38,4.34
1981-04-30,1981,4,Arghakhanchi,27.9,83.2,46.15,93.03,6.52,29.81,25.5,5.94,33.42,18.38,15.03,25.63,2.89,4.78,1.07,3.72,3.82,5.66,1.35,4.31
1981-05-31,1981,5,Arghakhanchi,27.9,83.2,69.45,92.75,9.95,37.25,28.89,12.45,35.7,22.28,13.43,29.99,2.69,4.4,0.93,3.47,3.52,5.29,1.3,4.0
1981-06-30,1981,6,Arghakhanchi,27.9,83.2,110.77,92.35,12.04,42.41,30.23,14.21,36.83,24.13,12.7,31.24,3.19,5.15,1.37,3.78,4.2,5.84,2.16,3.68
1981-07-31,1981,7,Arghakhanchi,27.9,83.2,620.05,92.43,19.43,84.56,26.08,23.11,29.2,23.29,5.91,26.28,2.69,4.43,1.09,3.33,3.76,5.38,1.96,3.42
1981-08-31,1981,8,Arghakhanchi,27.9,83.2,309.99,92.46,19.55,88.88,25.33,23.22,28.25,22.84,5.42,25.34,2.69,4.36,1.24,3.13,3.93,5.46,2.2,3.27
1981-09-30,1981,9,Arghakhanchi,27.9,83.2,184.98,93.02,17.22,85.37,23.99,21.21,27.27,21.3,5.98,23.7,2.36,3.83,0.98,2.86,3.38,4.82,1.67,3.15
1981-10-31,1981,10,Arghakhanchi,27.9,83.2,11.72,93.34,10.56,62.39,21.12,13.31,26.61,17.01,9.59,19.48,1.99,3.29,0.83,2.46,2.74,4.09,1.05,3.04
1981-11-30,1981,11,Arghakhanchi,27.9,83.2,36.66,93.56,7.72,57.05,17.43,8.38,23.44,13.36,10.08,15.57,1.9,2.92,0.76,2.15,2.57,3.83,0.92,2.91
1981-12-31,1981,12,Arghakhanchi,27.9,83.2,1.37,93.9,4.83,44.89,14.05,1.95,20.85,10.02,10.84,11.42,2.01,3.68,0.62,3.06,2.69,4.23,0.78,3.45
1982-01-31,1982,1,Arghakhanchi,27.9,83.2,57.76,93.78,4.88,44.91,14.36,2.1,21.2,10.06,11.13,12.33,2.17,3.82,0.76,3.06,2.99,4.55,0.98,3.57
1982-02-28,1982,2,Arghakhanchi,27.9,83.2,22.8,93.49,5.19,46.51,14.74,2.92,21.87,9.94,11.93,13.67,2.46,4.7,0.76,3.94,3.44,5.36,0.96,4.4
1982-03-31,1982,3,Arghakhanchi,27.9,83.2,36.3,93.34,6.49,43.34,19.53,6.08,26.79,13.89,12.9,19.35,2.72,4.87,0.86,4.0,3.71,5.73,1.13,4.6
1982-04-30,1982,4,Arghakhanchi,27.9,83.2,32.8,92.95,7.0,31.58,25.72,7.26,33.38,18.81,14.57,26.01,3.4,5.83,1.42,4.41,4.65,6.97,1.91,5.06
1982-05-31,1982,5,Arghakhanchi,27.9,83.2,19.03,92.91,7.82,29.13,29.07,8.87,36.44,22.24,14.2,30.27,3.34,5.92,1.38,4.54,4.48,6.76,1.78,4.98
1982-06-30,1982,6,Arghakhanchi,27.9,83.2,138.72,92.39,12.88,45.34,29.99,16.09,35.8,24.3,11.5,31.18,2.67,4.55,0.95,3.6,3.44,5.17,1.35,3.83
1982-07-31,1982,7,Arghakhanchi,27.9,83.2,343.76,92.37,16.71,64.65,28.54,20.51,32.98,24.59,8.39,29.26,2.86,4.84,1.1,3.74,3.91,5.73,1.85,3.88
1982-08-31,1982,8,Arghakhanchi,27.9,83.2,150.33,92.51,18.72,81.27,26.12,22.52,29.41,23.23,6.17,26.18,2.45,3.96,1.12,2.84,3.54,5.06,2.02,3.04
1982-09-30,1982,9,Arghakhanchi,27.9,83.2,178.89,92.91,15.86,76.74,24.35,19.74,28.65,20.97,7.68,24.04,2.31,3.89,0.89,2.99,3.28,4.87,1.4,3.46
1982-10-31,1982,10,Arghakhanchi,27.9,83.2,2.55,93.51,10.39,56.72,22.47,13.21,28.36,18.08,10.28,21.78,2.02,3.19,0.77,2.42,2.78,3.94,0.93,3.02
1982-11-30,1982,11,Arghakhanchi,27.9,83.2,12.51,93.63,6.59,47.71,17.89,6.3,24.59,13.47,11.12,16.38,2.12,3.64,0.79,2.85,2.91,4.38,0.89,3.49
1982-12-31,1982,12,Arghakhanchi,27.9,83.2,7.29,93.71,4.2,38.42,14.44,0.23,22.11,9.77,12.33,12.25,2.29,4.47,0.82,3.65,3.14,5.18,0.91,4.27
1983-01-31,1983,1,Arghakhanchi,27.9,83.2,4.66,93.83,3.58,36.59,12.87,-1.94,20.16,8.28,11.87,10.97,2.29,4.07,0.76,3.3,3.03,4.49,0.99,3.5
1983-02-28,1983,2,Arghakhanchi,27.9,83.2,1.89,93.54,3.13,26.2,15.47,-3.71,23.48,9.87,13.61,14.34,2.75,4.97,0.95,4.02,3.77,5.66,1.07,4.58
1983-03-31,1983,3,Arghakhanchi,27.9,83.2,5.48,93.21,3.51,20.16,21.67,-2.58,30.26,14.8,15.46,21.53,3.7,6.82,1.64,5.18,5.1,7.91,2.12,5.79
1983-04-30,1983,4,Arghakhanchi,27.9,83.2,18.68,93.03,5.44,26.57,25.07,3.18,32.64,18.5,14.14,25.64,3.59,6.5,1.43,5.07,4.84,7.43,1.95,5.49
1983-05-31,1983,5,Arghakhanchi,27.9,83.2,40.74,92.82,8.1,29.9,29.31,9.19,36.19,22.24,13.95,30.61,2.76,4.9,0.85,4.05,3.5,5.54,0.97,4.57
1983-06-30,1983,6,Arghakhanchi,27.9,83.2,90.84,92.49,10.04,34.48,31.08,11.68,37.68,24.54,13.14,32.12,3.29,5.52,1.44,4.08,4.35,6.26,2.05,4.2
1983-07-31,1983,7,Arghakhanchi,27.9,83.2,160.8,92.51,16.7,61.2,29.34,20.62,33.99,25.2,8.79,30.6,2.56,4.53,0.74,3.79,3.28,4.91,1.22,3.68
1983-08-31,1983,8,Arghakhanchi,27.9,83.2,131.82,92.66,17.95,73.17,27.29,21.9,31.57,23.8,7.77,27.99,2.84,4.7,1.2,3.5,3.93,5.46,2.28,3.18
1983-09-30,1983,9,Arghakhanchi,27.9,83.2,144.03,92.89,16.86,76.21,25.57,20.92,29.68,22.41,7.27,25.83,2.61,4.25,1.17,3.08,3.77,5.17,2.14,3.03
1983-10-31,1983,10,Arghakhanchi,27.9,83.2,120.55,93.26,12.46,66.75,22.46,15.69,27.51,18.73,8.78,22.0,1.97,3.11,0.82,2.29,2.79,4.19,1.14,3.05
1983-11-30,1983,11,Arghakhanchi,27.9,83.2,0.0,93.76,6.65,47.1,18.26,6.55,25.0,13.9,11.1,16.57,2.08,3.26,0.83,2.42,2.82,3.89,0.96,2.94
1983-12-31,1983,12,Arghakhanchi,27.9,83.2,12.16,93.75,4.38,40.47,14.41,0.68,21.58,10.22,11.36,12.08,2.19,3.96,0.83,3.13,2.98,4.48,0.99,3.49
1984-01-31,1984,1,Arghakhanchi,27.9,83.2,5.24,93.58,3.63,35.96,13.15,-2.01,20.81,8.47,12.34,11.08,2.43,4.64,0.71,3.93,3.26,5.31,0.89,4.42
1984-02-29,1984,2,Arghakhanchi,27.9,83.2,25.26,93.52,3.73,31.4,15.5,-1.97,23.88,9.88,14.0,14.15,2.83,5.12,1.11,4.01,3.83,5.83,1.46,4.36
1984-03-31,1984,3,Arghakhanchi,27.9,83.2,2.07,93.16,4.08,21.67,22.83,-0.33,31.7,15.78,15.92,22.25,3.23,5.95,1.26,4.69,4.32,6.71,1.49,5.22
1984-04-30,1984,4,Arghakhanchi,27.9,83.2,3.09,92.86,4.52,17.74,28.0,1.02,36.24,20.29,15.96,28.74,3.7,6.64,1.54,5.1,4.98,7.55,1.97,5.58
1984-05-31,1984,5,Arghakhanchi,27.9,83.2,16.02,92.51,7.27,25.03,30.66,5.75,38.37,23.11,15.26,32.05,3.32,5.3,1.31,4.0,4.28,6.23,1.79,4.45
1984-06-30,1984,6,Arghakhanchi,27.9,83.2,172.16,92.25,15.97,59.33,28.99,19.88,33.82,24.71,9.11,30.42,2.78,4.65,1.0,3.65,3.56,5.16,1.63,3.53
1984-07-31,1984,7,Arghakhanchi,27.9,83.2,286.21,92.46,17.83,77.03,26.25,21.74,30.12,22.96,7.17,26.88,2.69,4.41,1.14,3.27,3.62,5.16,2.01,3.15
1984-08-31,1984,8,Arghakhanchi,27.9,83.2,210.33,92.51,18.08,77.28,26.45,21.98,30.33,23.12,7.21,26.74,2.52,4.15,1.03,3.12,3.56,5.07,1.77,3.3
1984-09-30,1984,9,Arghakhanchi,27.9,83.2,249.44,92.94,16.12,82.65,23.4,20.04,27.13,20.47,6.66,23.04,2.68,4.33,1.21,3.11,3.84,5.28,2.12,3.16
1984-10-31,1984,10,Arghakhanchi,27.9,83.2,25.6,93.3,10.47,57.06,22.35,13.07,27.91,18.01,9.89,20.96,1.95,3.05,0.7,2.35,2.65,3.86,0.93,2.94
1984-11-30,1984,11,Arghakhanchi,27.9,83.2,2.0,93.73,5.38,39.99,17.62,3.7,24.63,13.07,11.56,15.35,2.07,3.26,0.67,2.6,2.73,3.75,0.75,3.0
1984-12-31,1984,12,Arghakhanchi,27.9,83.2,5.17,93.5,4.1,36.41,14.71,-0.36,22.28,10.11,12.17,12.09,2.17,4.05,0.73,3.32,2.92,4.62,0.82,3.8
1985-01-31,1985,1,Arghakhanchi,27.9,83.2,36.35,93.72,4.42,42.79,13.62,0.52,20.54,9.3,11.24,11.72,2.22,3.71,0.78,2.93,3.02,4.58,1.0,3.57
1985-02-28,1985,2,Arghakhanchi,27.9,83.2,0.21,93.08,2.92,24.63,15.74,-4.68,24.4,9.89,14.51,13.68,2.64,4.91,0.88,4.03,3.46,5.45,0.9,4.55
1985-03-31,1985,3,Arghakhanchi,27.9,83.2,0.03,93.05,3.02,15.42,23.38,-4.48,32.68,15.66,17.02,22.64,3.62,6.74,1.41,5.33,5.01,7.89,1.68,6.21
1985-04-30,1985,4,Arghakhanchi,27.9,83.2,3.71,92.75,4.71,18.77,28.05,1.44,36.38,20.35,16.03,28.82,3.95,7.0,1.65,5.35,5.29,8.07,2.28,5.79
